"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-11","11.63"," 1611"," 1609","0.00",,"0.0","0.0",,"84","60",,"  210","  220","23.0","30.0","    1",,,,,,,"    1","    1",,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-12","12.30"," 1203"," 1202","0.00",,"0.0","0.0",,"73","57",,"  220","  200","32.0","40.0",,,"    1",,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-13","5.14"," 1338"," 1337","0.00",,"0.0","0.0",,"72","47",,"  290","  270","14.1","21.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-14","2.01"," 0010"," 0950","0.00",,"0.0","0.0",,"75","43",,"   50","  310","10.1","13.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-15","9.62"," 2319"," 2126","0.00",,"0.0","0.0",,"76","49",,"  110","  130","19.9","29.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-16","15.43"," 1426"," 1425","0.39",,"0.0","0.0",,"74","56",,"  170","  160","36.0","49.0","    1",,"    1",,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-17","6.49"," 0035"," 0034","0.00",,"0.0","0.0",,"71","45",,"  280","  270","17.0","25.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-18","10.07"," 1600"," 1559","0.00",,"0.0","0.0",,"80","50",,"  220","  220","21.9","28.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-19","11.18"," 1314"," 1528","0.00",,"0.0","0.0",,"85","56",,"  230","  190","21.0","28.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-20","11.63"," 1030"," 1038","0.00",,"0.0","0.0",,"84","64",,"  240","  250","23.9","30.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-21","5.82"," 2257"," 0826","0.01",,"0.0","0.0",,"73","55",,"  120","  360","16.1","21.9",,,,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-22","5.82"," 1042"," 1046","0.43",,"0.0","0.0",,"58","51",,"  110","  100","15.0","21.9","    1",,,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-23","5.82"," 1718"," 1705","0.01",,"0.0","0.0",,"78","54",,"  210","  210","17.0","23.0","    1",,,,,,,"    1","    1","    1",,,,
