rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
151,Pembroke Pines,Florida,173591,154019,12.709999999999999,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",26.021,-80.3404,Pembroke Pines)
152,Eugene,Oregon,172622,156185,10.52,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44.0567,-123.1162,Eugene)
153,Garden Grove,California,171644,170883,0.45,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",33.778800000000004,-117.96050000000001,Garden Grove)
154,Cary[v],North Carolina,170282,135234,25.919999999999998,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35.7809,-78.8133,Cary)
155,Fort Collins,Colorado,170243,143986,18.24,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40.5482,-105.0648,Fort Collins)
156,Corona,California,169868,152374,11.48,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33.862,-117.5655,Corona)
157,Springfield,Missouri,167882,159498,5.26,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37.1942,-93.2913,Springfield)
158,Jackson,Mississippi,160628,173514,7.430000000000001,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32.315799999999996,-90.2128,Jackson)
159,Alexandria[m],Virginia,159428,139966,13.9,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38.820100000000004,-77.0841,Alexandria)
160,Hayward,California,159203,144186,10.42,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37.62870000000001,-122.10239999999999,Hayward)
161,Clarksville,Tennessee,158146,132929,18.97,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36.5664,-87.3452,Clarksville)
162,Lakewood,Colorado,157935,142980,10.46,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39.69890000000001,-105.11760000000001,Lakewood)
163,Lancaster,California,157601,156633,0.62,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34.693600000000004,-118.17529999999998,Lancaster)
164,Salinas,California,155465,150441,3.34,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36.690200000000004,-121.63369999999999,Salinas)
165,Palmdale,California,155079,152750,1.52,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34.591,-118.10539999999999,Palmdale)
166,Hollywood,Florida,154817,140768,9.98,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26.031000000000002,-80.16460000000001,Hollywood)
